Раздел / Section,Пункт / Code,Название (РУС),Name (ENG)
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.18.2,Конец зоны рекомендуемой скорости,End of recommended speed zone
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.19.1,Тупик,Dead end
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.19.2,Тупик,Dead end
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.19.3,Тупик,Dead end
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.20.1,Предварительный указатель направлений,Advance direction sign
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.20.2,Предварительный указатель направления,Advance direction sign
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.20.3,Схема движения,Traffic scheme
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.21.1,Указатель направления,Direction sign
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.21.2,Указатель направлений,Direction sign
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.22.1,Начало населённого пункта,Entrance to built-up area
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.22.2,Начало населённого пункта,Entrance to built-up area
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.23.1,Конец населённого пункта,End of built-up area
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.23.2,Конец населённого пункта,End of built-up area
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.24,Начало границы населённого пункта,Entrance to locality
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.25,Конец границы населённого пункта,End of locality
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.26.1,Наименование объекта (река),Object name (river)
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.26.2,Наименование объекта (улица),Object name (street)
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.27,Указатель расстояний,Distance indicator
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.28,Километровый знак,Kilometer sign
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.29.1,Номер дороги (европейский маршрут),Route number (European route)
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.29.2,Номер дороги (магистраль),Route number (highway)
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.29.3,Номер дороги (региональная),Route number (regional)
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.30.1,Направление движения грузовых автомобилей,Direction for lorries
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.30.2,Направление движения грузовых автомобилей,Direction for lorries
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.30.3,Направление движения грузовых автомобилей,Direction for lorries
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.31,Схема объезда,Detour scheme
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.32.1,Направление объезда,Detour direction
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.32.2,Направление объезда,Detour direction
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.32.3,Направление объезда,Detour direction
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.33,Стоп-линия,Stop line
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.34.1,Предварительный указатель перестроения,Advance lane change sign
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.34.2,Предварительный указатель перестроения,Advance lane change sign
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.35,Реверсивное движение,Reversible lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.36,Конец реверсивного движения,End of reversible lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.37,Выезд на дорогу с реверсивным движением,Entrance to road with reversible lane
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.38,Жилая зона,Residential area
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.39,Конец жилой зоны,End of residential area
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.40,Пешеходная зона,Pedestrian zone
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.41,Конец пешеходной зоны,End of pedestrian zone
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.42,Платная автомобильная дорога,Toll road
§ 5. ИНФОРМАЦИОННО-УКАЗАТЕЛЬНЫЕ ЗНАКИ / INFORMATION SIGNS,5.43,Конец платной автомобильной дороги,End of toll road
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.1,Пункт медицинской помощи,First aid
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.2,Больница,Hospital
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.3.1,Автозаправочная станция,Gas station
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.3.2,Автозаправочная станция,Gas station
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.3.3,Автозаправочная станция,Gas station
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.3.4,Совмещенная автозаправочная станция,
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.4,Техническое обслуживание автомобилей,Vehicle maintenance
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.5,Мойка автомобилей,Car wash
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.6,Телефон,Phone
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.7,Пункт питания,Food point
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.8,Питьевая вода,Drinking water
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.9,Гостиница или мотель,Hotel or motel
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.10,Кемпинг,Camping
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.11,Место отдыха,Rest area
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.12.1,Милиция,Police
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.12.2,ГАИ,Traffic police post
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.13,Туалет,Toilet
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.14,Пункт контроля транспортных средств,Vehicle inspection point
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.15,Достопримечательность,Landmark
§ 6. ЗНАКИ СЕРВИСА / SERVICE SIGNS,6.16,Пункт обслуживания системы BelToll,BelToll service point
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.1.1,Расстояние до объекта,Distance to object
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.1.2,Расстояние до объекта,Distance to object
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.1.3,Расстояние до объекта,Distance to object
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.1.4,Расстояние до объекта,Distance to object
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.2.1,Зона действия,Coverage area
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.2.2,Зона действия,Coverage area
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.2.3,Зона действия,Coverage area
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.2.4,Зона действия,Coverage area
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.2.5,Зона действия,Coverage area
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.2.6,Зона действия,Coverage area
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.3.1,Направление действия,Direction of action
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.3.2,Направление действия,Direction of action
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.3.3,Направление действия,Direction of action
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.4.1,Вид транспортного средства (грузовые),Vehicle type (lorries)
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.4.2,Вид транспортного средства (с прицепом),Vehicle type (with trailer)
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.4.3,Вид транспортного средства (легковые),Vehicle type (cars)
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.4.4,Вид транспортного средства (автобусы),Vehicle type (buses)
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.4.5,Вид транспортного средства (тракторы),Vehicle type (tractors)
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.4.6,Вид транспортного средства (мотоциклы),Vehicle type (motorcycles)
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.4.7,Вид транспортного средства (велосипеды),Vehicle type (bicycles)
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.4.8,Вид транспортного средства,Vehicle type (disabled)
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.4.9,Вид транспортного средства
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.4.10,Вид транспортного средства
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.4.11,Вид транспортного средства
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.5.1,"Субботние, воскресные и праздничные дни","Saturdays, Sundays and holidays"
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.5.2,Рабочие дни,Working days
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.5.3,Дни недели,Days of the week
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.5.4,Время действия,Validity period
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.5.5,Время действия,Validity period
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.5.6,Время действия,Validity period
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.5.7,Время действия,Validity period
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.5.8,Светлое время суток
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.5.9,Темное время суток
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.5.10,Зимний период
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.1,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.2,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.3,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.4,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.5,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.6,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.7,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.8,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.9,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.10,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.11,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.12,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.13,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.14,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.15,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.16,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.17,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.6.18,Способ постановки ТС на стоянку,Parking method
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.7,Количество опасных поворотов,Number of dangerous turns
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.8,Платные услуги,Paid services
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.9,Ограничение продолжительности стоянки,Parking time limit
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.10,Место для осмотра автомобилей,Vehicle inspection place
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.11,Ограничение максимальной массы,Maximum mass limit
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.12,Нанесение разметки,Road marking
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.13,Направление главной дороги,Direction of main road
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.14,Полоса движения,Traffic lane
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.15,Пешеходы — инвалиды по зрению,Blind pedestrians
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.16,Влажное покрытие,Wet surface
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.17,Инвалиды,Disabled
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.18,Кроме инвалидов,Except disabled
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.19,Класс опасного груза,Dangerous goods class
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.20,Эвакуатор,Tow truck
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.21,Скользкая полоса наката,Slippery track
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.22.1,Вид опасности,Type of danger
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.22.2,Вид опасности,Type of danger
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.22.3,Вид опасности,Type of danger
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.22.4,Вид опасности,Type of danger
§ 7. ЗНАКИ ДОПОЛНИТЕЛЬНОЙ ИНФОРМАЦИИ (ТАБЛИЧКИ) / ADDITIONAL PLATES,7.23,Экстренная помощь,Emergency help

